account_id,period,elapsed_month,feature_month_index,event_occurred,carryover_share,carryover_share_delta_3m,carryover_share_slope_3m,committed_ratio_delta_3m,payment_ratio_gap,revolving_streak_months,minimum_payment_streak,delinquency_count_6m,limit_utilization_ratio,billing_amount,committed_payment_ratio,elapsed_month_sq,dur_3,dur_4,dur_5,dur_6,dur_7,dur_8,dur_9,dur_10,dur_11,dur_12
003c0990-97c7-49ff-be62-0785cd8ed279,2,2,1,0,0.1491896148487524,0.0,0.0,0.0,0.6935,1.0,0.0,0.0,0.4823062,2411531.0,0.8247,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003c0990-97c7-49ff-be62-0785cd8ed279,3,3,2,0,0.2539272719141038,0.0,0.0,0.0,0.5806,2.0,0.0,0.0,0.4670848,2335424.0,0.7118,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003c0990-97c7-49ff-be62-0785cd8ed279,4,4,3,1,0.3196930807820179,0.0,0.0852517329666327,0.0,0.532,3.0,0.0,0.0,0.4020852,2010426.0,0.6632,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,2,2,1,0,0.1149322978745952,0.0,0.0,0.0,0.7068,1.0,0.0,0.0,0.32988,1319520.0,0.8701,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,3,3,2,0,0.1146155510583323,0.0,0.0,0.0,0.7221,2.0,0.0,0.0,0.3304195,1321678.0,0.8854,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,4,4,3,0,0.1193626723270746,0.0,0.0022151872262396,0.0,0.7182,3.0,0.0,0.0,0.29808825,1192353.0,0.8815,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,5,5,4,0,0.1064655246571964,-0.0084667732173988,-0.0040750132005679,0.0243999999999999,0.7312,4.0,0.0,0.0,0.311613,1246452.0,0.8945,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,6,6,5,0,0.1049279530189348,-0.0096875980393975,-0.0072173596540699,0.0094,0.7315,5.0,0.0,0.0,0.3255565,1302226.0,0.8948,36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,7,7,6,0,0.1212793286000393,0.0019166562729646,0.0074069019714214,-0.005,0.7132,6.0,0.0,0.0,0.324789,1299156.0,0.8765,49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,8,8,7,0,0.1051522299542331,-0.0013132947029633,0.0001121384676491,0.0022,0.7334,7.0,0.0,0.0,0.32681675,1307267.0,0.8967,64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,9,9,8,0,0.1204860526641745,0.0155580996452397,-0.0003966379679323,-0.0181,0.7134,8.0,0.0,0.0,0.346158,1384632.0,0.8767,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,10,10,9,0,0.1317569632384039,0.0104776346383645,0.0133023666420854,-0.0103999999999999,0.7028,9.0,0.0,0.0,0.355147,1420588.0,0.8661,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,11,11,10,0,0.1092110837136696,0.0040588537594364,-0.0056374844752524,-0.0019,0.7315,10.0,0.0,0.0,0.32540675,1301627.0,0.8948,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
00bcb114-e045-404d-a5b4-d23fcc068de6,12,12,11,0,0.1002212871726113,-0.0202647654915632,-0.0157678380328963,0.0236999999999999,0.7371,11.0,0.0,0.0,0.33738575,1349543.0,0.9004,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
00d82108-ebe7-4fbc-a3e6-f21df497dc3d,2,2,1,0,0.1476048578578558,0.0,0.0,0.0,0.5287999999999999,1.0,0.0,0.0,0.4124885,1649954.0,0.8268,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00d82108-ebe7-4fbc-a3e6-f21df497dc3d,3,3,2,0,0.2354890596254029,0.0,0.0,0.0,0.4352,2.0,0.0,0.0,0.4628225,1851290.0,0.7332,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00d82108-ebe7-4fbc-a3e6-f21df497dc3d,4,4,3,0,0.3113288995715588,0.0,0.0818620208568515,0.0,0.3593,3.0,0.0,0.0,0.446894,1787576.0,0.6573,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00d82108-ebe7-4fbc-a3e6-f21df497dc3d,5,5,4,1,0.379896551317156,0.2322916934593002,0.0722037458458765,-0.2405999999999999,0.2882,4.0,0.0,0.0,0.420321,1681284.0,0.5862,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
