account_id,anchor_month_index,horizon,target_month_index,pred_S,pred_r,pred_B,predicted_carryover_share,payment_ratio_gap,minimum_payment_streak,carryover_share_delta_3m,actual_S,actual_r,actual_B,actual_carryover_share
003c0990-97c7-49ff-be62-0785cd8ed279,9,1,10,2162259.5,0.36481624841690063,3129994.0199004114,0.5914293425533611,0.23361624841690062,0,0.08419712797075363,2273354,0.3331,3360387,0.5964752373245416
003c0990-97c7-49ff-be62-0785cd8ed279,9,2,11,2155223.25,0.3248308002948761,3568415.914386361,0.6234522847963173,0.1936308002948761,0,0.0802182737483571,2135050,0.3347,3656171,0.6313299043500499
003c0990-97c7-49ff-be62-0785cd8ed279,9,3,12,2124441.75,0.30250468850135803,3970741.5299385963,0.6514556408841242,0.17130468850135802,0,0.08653639823375192,1987254,0.331,3775308,0.6551440140687423
00bcb114-e045-404d-a5b4-d23fcc068de6,9,1,10,1422372.5,0.8709323406219482,211406.1790767908,0.12939707304556783,0.7076323406219482,0,0.024244843091334733,1301627,0.8948,159580,0.1092110837136696
00bcb114-e045-404d-a5b4-d23fcc068de6,9,2,11,1423592.25,0.8715345859527588,210040.7501579388,0.12857278846450346,0.7082345859527588,0,0.008086735800328954,1349543,0.9004,150318,0.1002212871726113
00bcb114-e045-404d-a5b4-d23fcc068de6,9,3,12,1423730.5,0.873503565788269,206666.23746262118,0.12675825013257502,0.710203565788269,0,-0.004998713105828889,1323462,0.8925,158384,0.1068829014620952
00d82108-ebe7-4fbc-a3e6-f21df497dc3d,9,1,10,1904993.75,0.29977190494537354,3487770.8451972306,0.6467500636507334,0.001771904945373548,3,0.09239080783009967,2132900,0.298,3656587,0.6315908473410511
00d82108-ebe7-4fbc-a3e6-f21df497dc3d,9,2,11,1927729.25,0.3003493845462799,3788957.974594422,0.6627890989546371,0.00234938454627992,4,0.0851885690283879,1907728,0.298,3906149,0.6718664670752409
00d82108-ebe7-4fbc-a3e6-f21df497dc3d,9,3,12,1970379.625,0.29884806275367737,4038170.7152112145,0.6720707136605705,0.000848062753677381,5,0.05774153974896845,1894982,0.298,4072394,0.6824430034239505
013f9a64-580c-4370-b9c1-14ce528706d9,9,1,10,902158.375,0.8634519577026367,142776.86900031567,0.1366370498268623,0.6443519577026368,0,0.02080180990158681,933863,0.8908,117623,0.1118635911462444
013f9a64-580c-4370-b9c1-14ce528706d9,9,2,11,900882.6875,0.8622817397117615,143730.97845441801,0.1375924737908701,0.6431817397117615,0,0.025016254657445017,891428,0.9205,80229,0.0825692605518202
013f9a64-580c-4370-b9c1-14ce528706d9,9,3,12,900882.6875,0.8615907430648804,144584.20128902222,0.1382962988493074,0.6424907430648804,0,0.0039757245567099975,951382,0.9083,94588,0.0904308918993852
019d6958-97bb-4672-b7a1-db12decb73d7,9,1,10,1492958.0,0.8354011178016663,291233.0322176218,0.16322973659140075,0.5552011178016663,0,0.03489103518985576,1451573,0.8397,277060,0.1602769355901455
019d6958-97bb-4672-b7a1-db12decb73d7,9,2,11,1518491.0,0.814440906047821,335810.75172178587,0.1810982227730592,0.534240906047821,0,0.038949547233707194,1393510,0.8327,279539,0.1670835701763666
019d6958-97bb-4672-b7a1-db12decb73d7,9,3,12,1539003.5,0.7914380431175232,391014.9291302522,0.20259647432820632,0.5112380431175232,0,0.04581309974634051,1407466,0.8558,243315,0.1473938699318686
0320ad2a-1bed-4b32-8e72-a96329d7b444,9,1,10,1739820.125,0.28727564215660095,3975731.9310510345,0.6955989363865458,0.004175642156600934,10,0.007234490764301604,1704840,0.2845,3966119,0.6993735980104953
0320ad2a-1bed-4b32-8e72-a96329d7b444,9,2,11,1763811.5,0.28640979528427124,4095681.971938524,0.6989822570078792,0.003309795284271222,11,0.001740154253106585,1737795,0.2881,4060446,0.7002892773860211
0320ad2a-1bed-4b32-8e72-a96329d7b444,9,3,12,1768624.5,0.2860470116138458,4186839.130452774,0.7030248844176825,0.002947011613845807,12,0.01111632873248014,1684967,0.2869,4118887,0.7096813600066438
03618b9e-ee2c-418c-9372-975655fe1c95,9,1,10,2209935.0,0.2704743444919586,5534267.706711352,0.7146336319315602,0.002374344491958613,10,0.007045332026332396,2064368,0.2748,5445739,0.7251213597888818
03618b9e-ee2c-418c-9372-975655fe1c95,9,2,11,2218614.25,0.2717849612236023,5645765.234735391,0.7178907434075011,0.00368496122360229,11,0.0002291890383502304,2229075,0.2732,5578322,0.7144919106841884
03618b9e-ee2c-418c-9372-975655fe1c95,9,3,12,2273562.0,0.27361294627189636,5752496.777548172,0.7167274669904006,0.005512946271896357,12,0.007214175748671892,2329915,0.2705,5768999,0.7123176020883788
03925911-e96e-4e35-8487-8acb97cdce6f,9,1,10,1392733.625,0.8411004543304443,262782.4475568831,0.1587314384396313,0.6866004543304444,0,0.002170438174837197,1378176,0.8512,243855,0.1503392968445116
03925911-e96e-4e35-8487-8acb97cdce6f,9,2,11,1392130.875,0.845247209072113,256102.4554094202,0.15537997605339318,0.6907472090721131,0,-0.00896325510291121,1292485,0.8658,206119,0.1375406711846492
03925911-e96e-4e35-8487-8acb97cdce6f,9,3,12,1391889.75,0.8455323576927185,254561.47051037033,0.1546122152537631,0.6910323576927185,0,-0.004456617417166797,1237055,0.8512,214799,0.147948071913567
03eeb933-5fad-4777-b249-d56a274b6032,9,1,10,1583332.5,0.305393785238266,3252882.9274051934,0.6726091871284742,0.179893785238266,0,0.10464010408783997,1595008,0.2934,3317428,0.6753122076297788
03eeb933-5fad-4777-b249-d56a274b6032,9,2,11,1607574.0,0.30084386467933655,3398218.281257162,0.678857229849683,0.17534386467933655,0,0.019394597153292392,1593812,0.284,3516620,0.6881257787991308
03eeb933-5fad-4777-b249-d56a274b6032,9,3,12,1636278.625,0.3042406737804413,3502798.175351936,0.681600667091034,0.17874067378044128,0,0.014085967019861978,1534357,0.2637,3719214,0.7079401801174858
0462449f-3331-4d94-ba75-6febce23306c,9,1,10,2377068.0,0.2855023145675659,6314775.557206035,0.7265173971027958,0.005102314567565935,10,-0.02628975504829112,2605251,0.2831,6524071,0.7146282056871255
0462449f-3331-4d94-ba75-6febce23306c,9,2,11,2311541.75,0.2880007028579712,6141931.859654816,0.7265571696633725,0.007600702857971209,11,-0.001933159017081798,2676934,0.281,6615204,0.7119140933980963
0462449f-3331-4d94-ba75-6febce23306c,9,3,12,2292859.5,0.2860786020755768,6021778.038685612,0.7242381896586609,0.0056786020755768,12,-0.004429239998543721,2798197,0.2824,6754870,0.7070891473910944
05f42960-6838-4c99-b4da-6e76d1beec85,9,1,10,1632142.5,0.2949308156967163,3374654.657566607,0.6740146547512121,0.1626308156967163,0,0.047280665678462674,1495333,0.243,3519699,0.7018298188326615
05f42960-6838-4c99-b4da-6e76d1beec85,9,2,11,1636394.5,0.30100780725479126,3502684.2386015137,0.6815782393625461,0.16870780725479126,0,0.0339022280183926,1702419,0.1987,4184406,0.71080862774076
