customer_id,age_group,gender,employment_type,join_date,mydata_consent
e5bb73a2-2574-4852-9c85-8af26a6bf8e0,40대,F,프리랜서,2025-01-16,False
21f38bef-e99a-4cce-bc83-14a3e9b7d0a4,30대,M,정규직,2025-01-30,True
a325b6ae-ba09-45b3-a29d-d45e87be504b,50대 이상,F,자영업,2025-12-22,True
492a28b1-8d32-43ef-bb84-5636617575a1,40대,F,프리랜서,2024-08-12,True
3d5a6e6c-4fc7-46a5-a2c9-0ffcf3bac87c,20대,M,정규직,2024-11-08,True
85a27adf-60c5-4b3b-8928-0614891367b1,50대 이상,M,정규직,2024-09-15,True
5d67fa73-35e2-4cf9-afd9-2ee8840baa02,40대,F,무직,2025-05-21,True
7fb528ad-bce8-4d7d-8d2f-6ec218a39817,40대,M,정규직,2024-05-17,False
5f696ac9-d89e-4bbb-a754-70a0db748ab1,20대,F,정규직,2025-07-28,True
5578b5cd-c376-41b8-96a9-ac5cb0b37f54,30대,미상,정규직,2024-07-31,True
19d984cf-737a-4b93-a515-c579bacdaa68,30대,M,정규직,2026-01-06,True
30d7264f-5bd9-402d-8578-154a01b82263,50대 이상,M,자영업,2025-11-29,False
279d7b0c-95d9-4a4d-98d1-83aeff08d4c7,40대,미상,자영업,2025-03-31,True
d8e00eb6-2365-4412-b903-de8feb35f048,40대,F,정규직,2025-03-06,True
eabe52e0-8f16-4502-9b03-3a8c3e96301e,30대,M,프리랜서,2024-09-21,True
cc6914c9-c75e-4786-82ba-01a3cc5f051e,20대,F,정규직,2025-10-17,True
475c2bce-6a31-432e-8cd5-2340fcb4b10b,30대,F,정규직,2024-06-03,True
94364a44-951b-45da-88d2-4db35bfa0b1f,20대,F,비정규직,2025-09-19,True
885072c8-624f-4b93-aa4c-0e1fab139111,40대,F,무직,2025-03-25,True
e910fd31-857f-4c03-ac99-ac1a7dc7eca3,40대,M,정규직,2024-04-13,False
2753a7d9-e07b-4461-a4fa-b9a2520d9664,40대,M,정규직,2025-03-20,True
b52fcafb-a224-4d96-a50e-a46ce7748b60,30대,F,비정규직,2024-11-16,True
a92ab10a-46b2-4e52-b4cb-648227ab5e36,50대 이상,M,프리랜서,2024-05-03,True
bf3c46d6-00f1-4bc6-a180-c1acc2b18b69,50대 이상,F,정규직,2024-03-07,False
a394e7a8-f172-468b-8c29-54d9bde90cac,40대,F,정규직,2025-04-24,False
38c57311-49be-4a18-a2e8-399b6d3baa2f,20대,M,자영업,2025-07-05,False
1983ac1c-5921-4bfd-865b-59df4d699a7e,30대,F,정규직,2026-01-12,True
770b91e3-343f-4763-b2b3-f02ab99fd5d2,20대,M,정규직,2025-03-22,True
56d419bc-c26e-4662-a5ee-72009b8c0693,20대,F,정규직,2024-04-25,False
a3aa6562-bfde-40ed-9c7f-632c7e54ec12,40대,M,정규직,2025-05-05,False
23291c9f-6394-4cbe-96e2-4788f3dff6dd,40대,F,비정규직,2025-09-02,True
26709150-379b-46fc-a9fd-e3f049f893f5,50대 이상,F,프리랜서,2026-03-31,True
b4e93cd4-b98c-4e68-90bc-5d9777c7c67b,30대,M,자영업,2025-07-28,True
1b6a5069-b8c2-43e5-900b-d66bd3d22825,30대,F,자영업,2025-12-09,False
bcd886cc-398e-403a-a579-6cf6dd435fec,30대,F,무직,2024-03-05,True
36ec0c01-d30d-4ee6-a25f-d50ed966d2d7,20대,F,정규직,2025-03-30,True
2ef28d50-ffb2-4931-8db2-4fa78366dae0,20대,F,정규직,2026-03-05,True
e0c2e133-f172-4f68-a2bc-989f1f692e91,30대,미상,무직,2026-05-05,True
eb9ed9ff-6958-4bff-bfc9-743f8637a671,20대,M,정규직,2024-06-22,True
b4beaf9a-ec09-483c-9026-b394aea8f241,40대,F,자영업,2024-04-13,True
0aad76de-33f2-4a0d-be8a-1a8c2b059b57,30대,M,자영업,2024-09-07,False
d865405a-e60c-49ac-9610-eb8fa87770d4,40대,F,정규직,2026-03-17,True
f4799858-89fa-428a-8f50-714405eb15df,40대,F,비정규직,2026-04-08,True
b4bdd168-f52b-4aff-be69-417695cd6454,20대,M,정규직,2026-01-11,True
29d990a3-53f7-4f38-95a0-c169252ef5b8,40대,M,정규직,2024-09-17,True
270a9dd4-da9f-44a4-8cfd-1ab236093b2d,40대,F,비정규직,2024-09-05,True
bc6f5203-fb64-4729-a8e0-b553b295938b,30대,M,정규직,2024-07-04,True
9e17938c-dc4e-4968-a67d-a465270b1f08,20대,F,자영업,2026-04-09,True
9ae1ae13-c9ad-4d4f-a641-dfa8a6e0d047,40대,M,프리랜서,2026-02-19,False
18676baa-44a0-45aa-b8bd-93e8b31b073d,20대,미상,프리랜서,2024-05-10,True
98cc29aa-0c61-43e7-93b6-c2d0edcdf080,20대,M,정규직,2024-04-15,True
2536c4a1-0fe6-433b-a261-6d8518fa3a57,20대,M,정규직,2024-10-09,True
d5270246-bf67-4edf-9fc9-4d6ea2b39dbe,40대,F,정규직,2026-04-01,False
17a756d7-1a69-40d3-b861-6b1ea1e41071,40대,F,정규직,2026-05-04,True
eff51480-cce8-4aec-80c4-d36a4b006dc4,40대,M,무직,2026-05-15,False
83e81ae1-96b9-4519-a6bb-a64ff5b9acbb,40대,M,정규직,2024-11-08,False
46f4c6a2-d1e7-4ff6-bee9-00653e809b62,30대,F,정규직,2024-06-27,True
00ca33c1-388c-4b7e-a3f8-802e8c136547,30대,F,프리랜서,2024-12-30,True
61eade22-7348-4851-b15a-bf0c50d875cb,20대,M,정규직,2025-11-16,False
7337ec7a-ecb6-4fb5-845d-755e5de49ace,20대,F,정규직,2024-09-12,True
9e96877b-75a1-4e86-9d1f-2879dd3c2544,40대,F,정규직,2026-05-12,True
eb8c9532-81d0-4893-b772-3ae1c96c6b63,30대,F,자영업,2024-07-12,True
9482d9d9-9a6d-4d09-8d62-834b40adf486,30대,F,자영업,2024-05-18,True
e8658d64-e14f-46c7-a149-6121734152a3,40대,F,정규직,2024-10-16,True
fad0e9f4-6043-4494-905c-bfdf66658948,40대,M,프리랜서,2024-05-29,True
2886cf86-4e06-4b4e-942f-2b223cf045a8,30대,F,프리랜서,2025-02-08,True
175b993b-ae4f-4978-86ef-ff8ce86f0b64,30대,F,프리랜서,2025-05-21,True
baeaf75f-6cc4-4fcf-8eb8-936289fa6205,20대,F,정규직,2025-09-25,True
d72fe996-ff2a-4a86-9cd1-874710accb24,20대,M,정규직,2024-04-22,False
8490becc-2443-4aa4-a0bd-afe4c23f57d6,30대,M,프리랜서,2024-11-03,True
a95be12f-5a4f-4ca7-a1b9-349e45ed1472,20대,F,정규직,2026-01-18,True
80f360ff-3992-4313-be2b-b0b4e42393f4,30대,M,자영업,2024-03-22,True
a39a39b3-db25-4fc3-8429-c0183b47fea6,50대 이상,미상,자영업,2026-05-12,True
d0870dd3-b352-4af0-b669-19624f3a62e3,20대,M,정규직,2025-02-06,True
0a29dbf1-a26a-4e87-a7d9-dbcccb7b622e,20대,F,자영업,2026-01-18,True
2345a557-7898-499a-b743-4fcea4c2f06c,20대,F,무직,2024-12-02,True
5fd7fea6-34dd-4f99-9050-8c990b29a5ec,20대,M,자영업,2025-07-08,True
c461ba42-6158-4d6c-9cc9-a022bf4040e7,40대,M,정규직,2025-06-17,True
46ab64e0-95c3-4f96-aec7-c2e96bce4d49,30대,F,프리랜서,2024-11-25,True
